Date : 2021-12-06 15:58:00
Directory : c:\Users\cr0ss4ire\Desktop\ps\ps_api
Total : 2670 files,  538619 codes, 204489 comments, 110798 blanks, all 853906 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| libs\pocstrike\api                                                                                                             |          1 |         47 |          0 |         16 |         63 |
| libs\pocstrike\lib                                                                                                             |         45 |      4,296 |        453 |      1,053 |      5,802 |
| libs\pocstrike\lib\controller                                                                                                  |          2 |        142 |         17 |         37 |        196 |
| libs\pocstrike\lib\core                                                                                                        |         22 |      2,776 |        347 |        744 |      3,867 |
| libs\pocstrike\lib\helper                                                                                                      |          8 |        965 |         19 |        161 |      1,145 |
| libs\pocstrike\lib\helper\archieve                                                                                             |          5 |        144 |         14 |         38 |        196 |
| libs\pocstrike\lib\helper\java                                                                                                 |          2 |        821 |          5 |        122 |        948 |
| libs\pocstrike\lib\parse                                                                                                       |          4 |        152 |         15 |         42 |        209 |
| libs\pocstrike\lib\request                                                                                                     |          7 |        161 |         27 |         47 |        235 |
| libs\pocstrike\lib\request\patch                                                                                               |          6 |        160 |         27 |         46 |        233 |
| libs\pocstrike\lib\utils                                                                                                       |          1 |        100 |         28 |         20 |        148 |
| libs\pocstrike\modules                                                                                                         |          5 |        373 |         62 |         84 |        519 |
| libs\pocstrike\modules\httpserver                                                                                              |          1 |        129 |         35 |         25 |        189 |
| libs\pocstrike\modules\listener                                                                                                |          3 |        244 |         27 |         58 |        329 |
| libs\pocstrike\pocs                                                                                                            |          6 |        761 |          3 |         83 |        847 |
| libs\pocstrike\shellcodes                                                                                                      |          9 |        900 |        363 |        191 |      1,454 |
| libs\pocstrike\shellcodes\data                                                                                                 |          1 |         66 |          2 |         17 |         85 |
| libs\pocstrike\shellcodes\data\java                                                                                            |          1 |         66 |          2 |         17 |         85 |
| libs\pocstrike\shellcodes\data\java\src                                                                                        |          1 |         66 |          2 |         17 |         85 |
| libs\pocstrike\shellcodes\data\java\src\ReverseTCP                                                                             |          1 |         66 |          2 |         17 |         85 |
| libs\pocstrike\thirdparty                                                                                                      |         21 |      3,221 |        916 |        808 |      4,945 |
| libs\pocstrike\thirdparty\ansistrm                                                                                             |          2 |        160 |          5 |         35 |        200 |
| libs\pocstrike\thirdparty\colorama                                                                                             |          6 |        573 |         70 |        124 |        767 |
| libs\pocstrike\thirdparty\ifcfg                                                                                                |          3 |        309 |        108 |         87 |        504 |
| libs\pocstrike\thirdparty\ifcfg\ifcfg                                                                                          |          3 |        309 |        108 |         87 |        504 |
| libs\pocstrike\thirdparty\markup                                                                                               |          2 |        328 |        123 |        104 |        555 |
| libs\pocstrike\thirdparty\oset                                                                                                 |          2 |         56 |          4 |         19 |         79 |
| libs\pocstrike\thirdparty\prettytable                                                                                          |          2 |      1,163 |        373 |        253 |      1,789 |
| libs\pocstrike\thirdparty\pysocks                                                                                              |          2 |        533 |        218 |        161 |        912 |
| libs\pocstrike\thirdparty\termcolor                                                                                            |          2 |         99 |         15 |         25 |        139 |
| libs\scripts                                                                                                                   |          1 |         29 |         16 |          7 |         52 |
| libs\sql                                                                                                                       |          2 |        107 |         21 |         26 |        154 |
| libs\ssh                                                                                                                       |          1 |         72 |          0 |         13 |         85 |
| upload                                                                                                                         |          2 |        290 |          0 |         30 |        320 |
| upload\1                                                                                                                       |          2 |        290 |          0 |         30 |        320 |
| upload\1\plugins                                                                                                               |          2 |        290 |          0 |         30 |        320 |
| venv                                                                                                                           |      2,545 |    525,171 |    202,612 |    106,739 |    834,522 |
| venv\Include                                                                                                                   |          1 |         84 |         39 |         24 |        147 |
| venv\Include\site                                                                                                              |          1 |         84 |         39 |         24 |        147 |
| venv\Include\site\python3.8                                                                                                    |          1 |         84 |         39 |         24 |        147 |
| venv\Include\site\python3.8\greenlet                                                                                           |          1 |         84 |         39 |         24 |        147 |
| venv\Lib                                                                                                                       |      2,536 |    524,097 |    202,197 |    106,505 |    832,799 |
| venv\Lib\site-packages                                                                                                         |      2,536 |    524,097 |    202,197 |    106,505 |    832,799 |
| venv\Lib\site-packages\Crypto                                                                                                  |        260 |     29,504 |     14,509 |      8,228 |     52,241 |
| venv\Lib\site-packages\Crypto\Cipher                                                                                           |         50 |      2,851 |      3,799 |      1,106 |      7,756 |
| venv\Lib\site-packages\Crypto\Hash                                                                                             |         52 |      1,889 |      2,100 |        819 |      4,808 |
| venv\Lib\site-packages\Crypto\IO                                                                                               |          7 |        407 |        417 |        112 |        936 |
| venv\Lib\site-packages\Crypto\Math                                                                                             |         13 |      1,294 |        501 |        336 |      2,131 |
| venv\Lib\site-packages\Crypto\Protocol                                                                                         |          6 |        386 |        403 |        147 |        936 |
| venv\Lib\site-packages\Crypto\PublicKey                                                                                        |         12 |      1,704 |      1,102 |        554 |      3,360 |
| venv\Lib\site-packages\Crypto\Random                                                                                           |          4 |        123 |         67 |         48 |        238 |
| venv\Lib\site-packages\Crypto\SelfTest                                                                                         |         82 |     18,013 |      4,288 |      4,514 |     26,815 |
| venv\Lib\site-packages\Crypto\SelfTest\Cipher                                                                                  |         24 |      8,656 |      1,282 |      1,765 |     11,703 |
| venv\Lib\site-packages\Crypto\SelfTest\Hash                                                                                    |         22 |      2,458 |        804 |        750 |      4,012 |
| venv\Lib\site-packages\Crypto\SelfTest\IO                                                                                      |          3 |        172 |        341 |         53 |        566 |
| venv\Lib\site-packages\Crypto\SelfTest\Math                                                                                    |          4 |        796 |        153 |        205 |      1,154 |
| venv\Lib\site-packages\Crypto\SelfTest\Protocol                                                                                |          4 |        741 |        203 |        165 |      1,109 |
| venv\Lib\site-packages\Crypto\SelfTest\PublicKey                                                                               |          8 |      2,520 |        774 |        893 |      4,187 |
| venv\Lib\site-packages\Crypto\SelfTest\Random                                                                                  |          2 |        123 |         72 |         13 |        208 |
| venv\Lib\site-packages\Crypto\SelfTest\Signature                                                                               |          4 |      1,384 |        197 |        327 |      1,908 |
| venv\Lib\site-packages\Crypto\SelfTest\Util                                                                                    |          7 |        968 |        323 |        277 |      1,568 |
| venv\Lib\site-packages\Crypto\Signature                                                                                        |         11 |        420 |        678 |        167 |      1,265 |
| venv\Lib\site-packages\Crypto\Util                                                                                             |         21 |      2,410 |      1,154 |        420 |      3,984 |
| venv\Lib\site-packages\Flask_Excel-0.0.7.dist-info                                                                             |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\PyMySQL-0.9.3.dist-info                                                                                 |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\adodbapi                                                                                                |         20 |      4,946 |        975 |        813 |      6,734 |
| venv\Lib\site-packages\adodbapi\examples                                                                                       |          4 |        125 |         13 |         37 |        175 |
| venv\Lib\site-packages\adodbapi\test                                                                                           |          7 |      2,482 |        420 |        366 |      3,268 |
| venv\Lib\site-packages\apscheduler                                                                                             |         38 |      2,758 |      1,025 |        798 |      4,581 |
| venv\Lib\site-packages\apscheduler\executors                                                                                   |          9 |        258 |         93 |         88 |        439 |
| venv\Lib\site-packages\apscheduler\jobstores                                                                                   |          8 |        691 |        162 |        185 |      1,038 |
| venv\Lib\site-packages\apscheduler\schedulers                                                                                  |          9 |        761 |        423 |        203 |      1,387 |
| venv\Lib\site-packages\apscheduler\triggers                                                                                    |          8 |        594 |        122 |        192 |        908 |
| venv\Lib\site-packages\apscheduler\triggers\cron                                                                               |          3 |        420 |         54 |        129 |        603 |
| venv\Lib\site-packages\asn1crypto                                                                                              |         27 |      9,216 |      4,216 |      2,874 |     16,306 |
| venv\Lib\site-packages\asn1crypto-0.24.0.dist-info                                                                             |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\asn1crypto\_perf                                                                                        |          2 |         30 |         21 |         20 |         71 |
| venv\Lib\site-packages\backports                                                                                               |          2 |        114 |         66 |         29 |        209 |
| venv\Lib\site-packages\backports\ssl_match_hostname                                                                            |          1 |        112 |         65 |         28 |        205 |
| venv\Lib\site-packages\bcrypt                                                                                                  |          2 |        127 |         51 |         43 |        221 |
| venv\Lib\site-packages\bs4                                                                                                     |         18 |      6,368 |      3,023 |      1,469 |     10,860 |
| venv\Lib\site-packages\bs4\builder                                                                                             |          4 |        953 |        629 |        217 |      1,799 |
| venv\Lib\site-packages\bs4\tests                                                                                               |          8 |      2,406 |        587 |        662 |      3,655 |
| venv\Lib\site-packages\certifi                                                                                                 |          3 |          8 |          7 |          8 |         23 |
| venv\Lib\site-packages\certifi-2019.3.9.dist-info                                                                              |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\cffi                                                                                                    |         20 |      7,226 |      1,270 |        923 |      9,419 |
| venv\Lib\site-packages\chardet                                                                                                 |         41 |      4,710 |      1,590 |        462 |      6,762 |
| venv\Lib\site-packages\chardet-3.0.4.dist-info                                                                                 |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\chardet\cli                                                                                             |          2 |         43 |         32 |         13 |         88 |
| venv\Lib\site-packages\click                                                                                                   |         17 |      4,297 |      2,085 |      1,040 |      7,422 |
| venv\Lib\site-packages\cryptography                                                                                            |         88 |     12,893 |      1,689 |      3,389 |     17,971 |
| venv\Lib\site-packages\cryptography\hazmat                                                                                     |         75 |      9,142 |      1,241 |      2,368 |     12,751 |
| venv\Lib\site-packages\cryptography\hazmat\backends                                                                            |         22 |      4,327 |        534 |        865 |      5,726 |
| venv\Lib\site-packages\cryptography\hazmat\backends\openssl                                                                    |         20 |      4,183 |        355 |        791 |      5,329 |
| venv\Lib\site-packages\cryptography\hazmat\bindings                                                                            |          8 |        471 |         41 |        133 |        645 |
| venv\Lib\site-packages\cryptography\hazmat\bindings\_rust                                                                      |          4 |         65 |          0 |         11 |         76 |
| venv\Lib\site-packages\cryptography\hazmat\bindings\openssl                                                                    |          3 |        406 |         38 |        121 |        565 |
| venv\Lib\site-packages\cryptography\hazmat\primitives                                                                          |         43 |      4,050 |        649 |      1,328 |      6,027 |
| venv\Lib\site-packages\cryptography\hazmat\primitives\asymmetric                                                               |         12 |      1,253 |        320 |        457 |      2,030 |
| venv\Lib\site-packages\cryptography\hazmat\primitives\ciphers                                                                  |          5 |        663 |         67 |        219 |        949 |
| venv\Lib\site-packages\cryptography\hazmat\primitives\kdf                                                                      |          7 |        536 |         36 |        154 |        726 |
| venv\Lib\site-packages\cryptography\hazmat\primitives\serialization                                                            |          5 |        858 |        111 |        215 |      1,184 |
| venv\Lib\site-packages\cryptography\hazmat\primitives\twofactor                                                                |          3 |        113 |          9 |         33 |        155 |
| venv\Lib\site-packages\cryptography\x509                                                                                       |          8 |      3,410 |        424 |        904 |      4,738 |
| venv\Lib\site-packages\docker                                                                                                  |         58 |      6,036 |      5,116 |      1,473 |     12,625 |
| venv\Lib\site-packages\docker\api                                                                                              |         14 |      2,039 |      2,391 |        393 |      4,823 |
| venv\Lib\site-packages\docker\models                                                                                           |         12 |        905 |      1,819 |        248 |      2,972 |
| venv\Lib\site-packages\docker\transport                                                                                        |          7 |        458 |         47 |        143 |        648 |
| venv\Lib\site-packages\docker\types                                                                                            |          8 |      1,134 |        448 |        262 |      1,844 |
| venv\Lib\site-packages\docker\utils                                                                                            |         10 |        965 |        189 |        267 |      1,421 |
| venv\Lib\site-packages\dockerpycreds                                                                                           |          6 |        129 |         27 |         29 |        185 |
| venv\Lib\site-packages\flake8                                                                                                  |         27 |      3,224 |      1,738 |        685 |      5,647 |
| venv\Lib\site-packages\flake8\api                                                                                              |          2 |         87 |        112 |         23 |        222 |
| venv\Lib\site-packages\flake8\formatting                                                                                       |          3 |        109 |        157 |         43 |        309 |
| venv\Lib\site-packages\flake8\main                                                                                             |          5 |        560 |        191 |        104 |        855 |
| venv\Lib\site-packages\flake8\options                                                                                          |          4 |        571 |        264 |        110 |        945 |
| venv\Lib\site-packages\flake8\plugins                                                                                          |          3 |        464 |        169 |         90 |        723 |
| venv\Lib\site-packages\flask                                                                                                   |         20 |      3,242 |      3,496 |      1,021 |      7,759 |
| venv\Lib\site-packages\flask\json                                                                                              |          2 |        268 |        234 |        127 |        629 |
| venv\Lib\site-packages\flask_excel                                                                                             |          1 |         41 |         21 |         10 |         72 |
| venv\Lib\site-packages\flask_simpleldap                                                                                        |          1 |        250 |         91 |         42 |        383 |
| venv\Lib\site-packages\flask_sqlalchemy                                                                                        |          4 |        747 |        394 |        238 |      1,379 |
| venv\Lib\site-packages\greenlet                                                                                                |         41 |      4,267 |      1,308 |        780 |      6,355 |
| venv\Lib\site-packages\greenlet\platform                                                                                       |         21 |        758 |        639 |        172 |      1,569 |
| venv\Lib\site-packages\greenlet\tests                                                                                          |         16 |      1,794 |        196 |        390 |      2,380 |
| venv\Lib\site-packages\idna                                                                                                    |          8 |     10,524 |         38 |        213 |     10,775 |
| venv\Lib\site-packages\isapi                                                                                                   |         12 |      1,350 |        528 |        325 |      2,203 |
| venv\Lib\site-packages\isapi\doc                                                                                               |          1 |         82 |          3 |          8 |         93 |
| venv\Lib\site-packages\isapi\samples                                                                                           |          5 |        410 |        232 |        119 |        761 |
| venv\Lib\site-packages\isapi\test                                                                                              |          1 |         76 |         26 |         15 |        117 |
| venv\Lib\site-packages\itsdangerous                                                                                            |         10 |        620 |        301 |        164 |      1,085 |
| venv\Lib\site-packages\jinja2                                                                                                  |         27 |      7,397 |      3,231 |      1,758 |     12,386 |
| venv\Lib\site-packages\jmespath                                                                                                |          8 |      1,275 |        186 |        261 |      1,722 |
| venv\Lib\site-packages\jmespath-0.9.4.dist-info                                                                                |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\ldap                                                                                                    |         36 |      3,533 |      1,953 |        902 |      6,388 |
| venv\Lib\site-packages\ldap\controls                                                                                           |         13 |        731 |        343 |        268 |      1,342 |
| venv\Lib\site-packages\ldap\extop                                                                                              |          3 |         93 |         52 |         34 |        179 |
| venv\Lib\site-packages\ldap\schema                                                                                             |          4 |        748 |        431 |        137 |      1,316 |
| venv\Lib\site-packages\lml                                                                                                     |          5 |        290 |        302 |         76 |        668 |
| venv\Lib\site-packages\markupsafe                                                                                              |          4 |        482 |        135 |         80 |        697 |
| venv\Lib\site-packages\mccabe-0.6.1.dist-info                                                                                  |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\nacl                                                                                                    |         29 |      2,472 |      1,691 |        799 |      4,962 |
| venv\Lib\site-packages\nacl\bindings                                                                                           |         15 |      1,771 |        879 |        490 |      3,140 |
| venv\Lib\site-packages\nacl\pwhash                                                                                             |          5 |        211 |        276 |         81 |        568 |
| venv\Lib\site-packages\packaging                                                                                               |          9 |        988 |        435 |        398 |      1,821 |
| venv\Lib\site-packages\paramiko                                                                                                |         43 |     10,079 |      6,400 |      1,600 |     18,079 |
| venv\Lib\site-packages\paramiko-2.4.2.dist-info                                                                                |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\pip                                                                                                     |        400 |    109,474 |     23,957 |     14,814 |    148,245 |
| venv\Lib\site-packages\pip\_internal                                                                                           |        144 |     18,079 |      5,242 |      4,312 |     27,633 |
| venv\Lib\site-packages\pip\_internal\cli                                                                                       |         12 |      1,912 |        416 |        433 |      2,761 |
| venv\Lib\site-packages\pip\_internal\commands                                                                                  |         17 |      2,408 |        360 |        512 |      3,280 |
| venv\Lib\site-packages\pip\_internal\distributions                                                                             |          5 |        150 |         54 |         40 |        244 |
| venv\Lib\site-packages\pip\_internal\index                                                                                     |          4 |      1,104 |        408 |        247 |      1,759 |
| venv\Lib\site-packages\pip\_internal\locations                                                                                 |          4 |        564 |        180 |        146 |        890 |
| venv\Lib\site-packages\pip\_internal\metadata                                                                                  |          3 |        315 |        122 |         93 |        530 |
| venv\Lib\site-packages\pip\_internal\models                                                                                    |         11 |        674 |        208 |        191 |      1,073 |
| venv\Lib\site-packages\pip\_internal\network                                                                                   |          8 |        852 |        330 |        224 |      1,406 |
| venv\Lib\site-packages\pip\_internal\operations                                                                                |         15 |      1,564 |        357 |        359 |      2,280 |
| venv\Lib\site-packages\pip\_internal\operations\build                                                                          |          7 |        221 |         41 |         64 |        326 |
| venv\Lib\site-packages\pip\_internal\operations\install                                                                        |          4 |        616 |        157 |        142 |        915 |
| venv\Lib\site-packages\pip\_internal\req                                                                                       |          7 |      2,041 |        498 |        401 |      2,940 |
| venv\Lib\site-packages\pip\_internal\resolution                                                                                |         13 |      1,844 |        490 |        403 |      2,737 |
| venv\Lib\site-packages\pip\_internal\resolution\legacy                                                                         |          2 |        281 |        130 |         58 |        469 |
| venv\Lib\site-packages\pip\_internal\resolution\resolvelib                                                                     |          9 |      1,548 |        360 |        338 |      2,246 |
| venv\Lib\site-packages\pip\_internal\utils                                                                                     |         30 |      2,227 |        927 |        682 |      3,836 |
| venv\Lib\site-packages\pip\_internal\vcs                                                                                       |          6 |      1,125 |        441 |        225 |      1,791 |
| venv\Lib\site-packages\pip\_vendor                                                                                             |        254 |     91,376 |     18,698 |     10,492 |    120,566 |
| venv\Lib\site-packages\pip\_vendor\cachecontrol                                                                                |         13 |        738 |        268 |        265 |      1,271 |
| venv\Lib\site-packages\pip\_vendor\cachecontrol\caches                                                                         |          3 |        111 |         33 |         40 |        184 |
| venv\Lib\site-packages\pip\_vendor\certifi                                                                                     |          3 |         41 |         31 |         22 |         94 |
| venv\Lib\site-packages\pip\_vendor\chardet                                                                                     |         43 |     36,105 |      1,493 |        507 |     38,105 |
| venv\Lib\site-packages\pip\_vendor\chardet\cli                                                                                 |          2 |         43 |         31 |         13 |         87 |
| venv\Lib\site-packages\pip\_vendor\chardet\metadata                                                                            |          2 |        242 |         61 |          9 |        312 |
| venv\Lib\site-packages\pip\_vendor\colorama                                                                                    |          6 |        579 |         70 |        124 |        773 |
| venv\Lib\site-packages\pip\_vendor\distlib                                                                                     |         19 |      9,744 |      3,232 |      1,770 |     14,746 |
| venv\Lib\site-packages\pip\_vendor\distlib\_backport                                                                           |          6 |      2,698 |      1,030 |        566 |      4,294 |
| venv\Lib\site-packages\pip\_vendor\html5lib                                                                                    |         33 |     10,420 |      1,464 |      1,392 |     13,276 |
| venv\Lib\site-packages\pip\_vendor\html5lib\_trie                                                                              |          3 |         77 |          2 |         36 |        115 |
| venv\Lib\site-packages\pip\_vendor\html5lib\filters                                                                            |          8 |      1,094 |        186 |         96 |      1,376 |
| venv\Lib\site-packages\pip\_vendor\html5lib\treeadapters                                                                       |          3 |         82 |         32 |         23 |        137 |
| venv\Lib\site-packages\pip\_vendor\html5lib\treebuilders                                                                       |          5 |      1,003 |        222 |        259 |      1,484 |
| venv\Lib\site-packages\pip\_vendor\html5lib\treewalkers                                                                        |          6 |        556 |        165 |        149 |        870 |
| venv\Lib\site-packages\pip\_vendor\idna                                                                                        |          8 |     10,792 |        146 |        204 |     11,142 |
| venv\Lib\site-packages\pip\_vendor\msgpack                                                                                     |          5 |        928 |        312 |        148 |      1,388 |
| venv\Lib\site-packages\pip\_vendor\packaging                                                                                   |         11 |      1,748 |        646 |        574 |      2,968 |
| venv\Lib\site-packages\pip\_vendor\pep517                                                                                      |         11 |        979 |        329 |        271 |      1,579 |
| venv\Lib\site-packages\pip\_vendor\pep517\in_process                                                                           |          2 |        233 |         83 |         66 |        382 |
| venv\Lib\site-packages\pip\_vendor\pkg_resources                                                                               |          2 |      1,847 |        903 |        571 |      3,321 |
| venv\Lib\site-packages\pip\_vendor\platformdirs                                                                                |          8 |        592 |        309 |        178 |      1,079 |
| venv\Lib\site-packages\pip\_vendor\progress                                                                                    |          5 |        286 |         73 |         99 |        458 |
| venv\Lib\site-packages\pip\_vendor\requests                                                                                    |         18 |      2,611 |      1,659 |        895 |      5,165 |
| venv\Lib\site-packages\pip\_vendor\resolvelib                                                                                  |          7 |        454 |        256 |        147 |        857 |
| venv\Lib\site-packages\pip\_vendor\resolvelib\compat                                                                           |          2 |          5 |          0 |          3 |          8 |
| venv\Lib\site-packages\pip\_vendor\tenacity                                                                                    |         11 |        785 |        343 |        307 |      1,435 |
| venv\Lib\site-packages\pip\_vendor\tomli                                                                                       |          3 |        614 |         59 |        122 |        795 |
| venv\Lib\site-packages\pip\_vendor\urllib3                                                                                     |         39 |      6,571 |      3,014 |      1,808 |     11,393 |
| venv\Lib\site-packages\pip\_vendor\urllib3\contrib                                                                             |         10 |      1,892 |        684 |        479 |      3,055 |
| venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport                                                            |          3 |        598 |        170 |        151 |        919 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages                                                                            |          6 |        877 |        204 |        242 |      1,323 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports                                                                  |          2 |         38 |         11 |          4 |         53 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages\ssl_match_hostname                                                         |          2 |        101 |         60 |         25 |        186 |
| venv\Lib\site-packages\pip\_vendor\urllib3\util                                                                                |         12 |      1,475 |        843 |        393 |      2,711 |
| venv\Lib\site-packages\pip\_vendor\webencodings                                                                                |          5 |        769 |        241 |        105 |      1,115 |
| venv\Lib\site-packages\pip_review                                                                                              |          2 |        181 |          1 |         48 |        230 |
| venv\Lib\site-packages\pip_review-1.0.dist-info                                                                                |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\pipreqs                                                                                                 |          2 |        317 |        102 |         80 |        499 |
| venv\Lib\site-packages\pkg_resources                                                                                           |         16 |      6,594 |      4,041 |      1,732 |     12,367 |
| venv\Lib\site-packages\pkg_resources\_vendor                                                                                   |         13 |      4,706 |      3,116 |      1,151 |      8,973 |
| venv\Lib\site-packages\pkg_resources\_vendor\packaging                                                                         |          9 |        950 |        421 |        380 |      1,751 |
